Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Rome Emperors,ROM,432,Rome,AFA,ATL,2024,754744,2024-09-03 19:00:00,ROM - AFA,432,AFA,false,true,true,Rome,ROM,ROM,448,HIC,HIC,W 7-0,ATL,TEX,19.9,21,1,7.0,81,23,33.3%,95.9,96.6,16.3,6.80,21.7%,0.0%,64.2%,59.3%,12.3%,65.2%,56.0%,11.11%,57.14%,24.7%,15.8%,18.8%,18.2%,84.2%,8.3%,.198,.201,1.68,.021,Crawdads,ROM vs. HIC (2024-09-03)<br>W 7-0,9/3/24
2,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754289,2024-08-20 18:30:00,AUG - AFX,478,AFX,false,false,true,Augusta,AUG,AUG,249,WIL,WIL,L 4-5,ATL,MIL,19.9,21,1,4.0,71,17,39.4%,94.6,95.6,18.8,7.05,29.4%,5.9%,66.2%,53.5%,18.3%,58.8%,47.1%,16.67%,45.45%,32.4%,33.3%,25.9%,27.3%,66.7%,9.1%,.228,.322,1.27,.018,Mudcats,AUG vs. WIL (2024-08-20)<br>L 4-5,8/20/24
3,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754358,2024-08-13 19:05:00,AUG - AFX,478,AFX,true,true,true,Augusta,AUG,AUG,3712,FAY,FAY,W 5-4,ATL,HOU,19.9,21,1,5.2,85,19,37.6%,93.7,95.1,17.7,6.77,52.6%,10.5%,70.6%,50.6%,14.1%,73.7%,78.9%,42.11%,75.00%,31.8%,31.3%,25.0%,38.1%,68.8%,0.0%,.121,.227,2.92,.034,Woodpeckers,AUG vs. FAY (2024-08-13)<br>W 5-4,8/13/24
4,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754360,2024-07-30 19:05:00,AUG - AFX,478,AFX,true,false,true,Augusta,AUG,AUG,485,DE,DE,L 5-9,ATL,TEX,19.9,21,1,4.0,81,19,42.5%,95.1,96.0,17.4,7.14,31.6%,0.0%,71.6%,58.8%,17.5%,73.7%,68.4%,21.74%,46.15%,32.1%,36.0%,42.1%,33.3%,64.0%,23.1%,.429,.448,-1.33,-.016,Wood Ducks,AUG vs. DE (2024-07-30)<br>L 5-9,7/30/24
5,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,753699,2024-07-23 19:05:00,AUG - AFX,478,AFX,false,false,true,Augusta,AUG,AUG,521,MB,MB,L 1-7,ATL,CHC,19.9,21,1,4.0,78,19,32.1%,94.3,95.7,18.2,6.84,42.1%,10.5%,60.3%,48.7%,11.5%,73.7%,78.9%,25.00%,88.89%,33.3%,40.0%,29.2%,27.5%,60.0%,11.1%,.265,.305,0.59,.008,Pelicans,AUG vs. MB (2024-07-23)<br>L 1-7,7/23/24
6,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754368,2024-07-09 19:05:00,AUG - AFX,478,AFX,true,true,true,Augusta,AUG,AUG,3712,FAY,FAY,W 6-5,ATL,HOU,19.9,21,1,4.2,81,26,32.1%,93.0,94.0,17.4,6.71,15.4%,11.5%,65.4%,49.4%,16.0%,69.2%,73.1%,20.00%,57.14%,22.2%,14.6%,7.7%,36.6%,85.4%,5.6%,.328,.359,0.41,.005,Woodpeckers,AUG vs. FAY (2024-07-09)<br>W 6-5,7/9/24
7,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754366,2024-07-06 18:35:00,AUG - AFX,478,AFX,true,true,true,Augusta,AUG,AUG,3705,COL,COL,W 8-0,ATL,KC,19.9,21,1,5.2,80,21,31.3%,94.6,95.3,17.4,6.70,28.6%,9.5%,58.8%,48.8%,15.0%,71.4%,57.1%,38.46%,75.00%,21.3%,25.0%,22.6%,22.0%,75.0%,7.7%,.247,.167,1.16,.014,Fireflies,AUG vs. COL (2024-07-06)<br>W 8-0,7/6/24
8,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754372,2024-06-29 18:05:00,AUG - AFX,478,AFX,true,true,true,Augusta,AUG,AUG,233,CHS,CHS,W 7-3,ATL,TB,19.9,21,1,5.0,78,19,35.9%,94.3,95.4,17.4,7.10,5.3%,0.0%,70.5%,51.3%,12.8%,68.4%,68.4%,0.00%,11.11%,19.2%,14.9%,9.4%,39.5%,85.1%,5.6%,.232,.252,1.79,.023,RiverDogs,AUG vs. CHS (2024-06-29)<br>W 7-3,6/29/24
9,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,753651,2024-06-22 18:05:00,AUG - AFX,478,AFX,false,false,true,Augusta,AUG,AUG,414,SAL,SAL,L 5-6,ATL,BOS,19.9,21,1,5.0,76,24,42.1%,94.4,95.1,15.6,7.05,25.0%,4.2%,77.6%,57.9%,5.3%,58.3%,83.3%,40.00%,60.00%,28.9%,19.6%,15.6%,43.8%,80.4%,11.8%,.236,.249,1.97,.026,Red Sox,AUG vs. SAL (2024-06-22)<br>L 5-6,6/22/24
10,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,753781,2024-06-15 18:30:00,AUG - AFX,478,AFX,false,false,true,Augusta,AUG,AUG,481,HC,HC,L 4-7,ATL,CLE,19.9,21,1,4.1,76,21,31.6%,92.7,94.3,16.9,6.94,0.0%,0.0%,72.4%,56.6%,11.8%,76.2%,66.7%,0.00%,0.00%,18.4%,14.6%,12.8%,27.3%,85.4%,10.0%,.371,.381,-0.25,-.003,Hillcats,AUG vs. HC (2024-06-15)<br>L 4-7,6/15/24
11,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754378,2024-06-08 18:05:00,AUG - AFX,478,AFX,true,true,true,Augusta,AUG,AUG,521,MB,MB,W 8-7,ATL,CHC,19.9,21,1,3.2,72,21,29.2%,95.2,96.6,16.0,7.36,23.8%,4.8%,75.0%,62.5%,8.3%,57.1%,81.0%,5.88%,62.50%,26.4%,23.9%,17.6%,44.4%,76.1%,13.3%,.263,.480,1.53,.021,Pelicans,AUG vs. MB (2024-06-08)<br>W 8-7,6/8/24
12,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,753993,2024-06-01 19:05:00,AUG - AFX,478,AFX,false,true,true,Augusta,AUG,AUG,3712,FAY,FAY,W 10-0,ATL,HOU,19.9,21,1,6.0,65,21,26.2%,92.8,94.3,17.7,6.83,19.0%,0.0%,80.0%,60.0%,9.2%,85.7%,71.4%,12.50%,36.36%,32.3%,26.2%,25.8%,42.3%,73.8%,12.5%,.284,.196,1.17,.018,Woodpeckers,AUG vs. FAY (2024-06-01)<br>W 10-0,6/1/24
13,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754384,2024-05-25 20:12:00 (2),AUG - AFX,478,AFX,true,false,true,Augusta,AUG,AUG,487,KAN,KAN,L 0-6 (7),ATL,CWS,19.9,21,1,1.0,32,6,18.8%,94.7,95.0,15.9,7.05,33.3%,16.7%,59.4%,50.0%,3.1%,50.0%,33.3%,0.00%,66.67%,25.0%,26.7%,16.7%,18.8%,73.3%,0.0%,.371,.409,-0.26,-.008,Cannon Ballers,AUG vs. KAN (2024-05-25)<br>L 0-6,5/25/24
14,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754390,2024-05-19 13:35:00,AUG - AFX,478,AFX,true,false,true,Augusta,AUG,AUG,414,SAL,SAL,L 1-4 (10),ATL,BOS,19.9,21,1,6.0,73,22,30.1%,93.3,94.2,18.1,6.84,18.2%,4.5%,65.8%,54.8%,13.7%,86.4%,68.2%,14.29%,42.86%,26.0%,23.7%,20.7%,27.3%,76.3%,18.8%,.234,.201,1.48,.020,Red Sox,AUG vs. SAL (2024-05-19)<br>L 1-4,5/19/24
15,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,753736,2024-05-12 18:05:00,AUG - AFX,478,AFX,false,true,true,Augusta,AUG,AUG,521,MB,MB,W 2-1,ATL,CHC,19.9,21,1,6.2,77,27,23.4%,92.2,93.0,15.0,7.01,14.8%,3.7%,74.0%,54.5%,11.7%,66.7%,65.4%,12.50%,40.00%,27.3%,23.4%,19.4%,45.7%,76.6%,5.0%,.298,.307,1.23,.016,Pelicans,AUG vs. MB (2024-05-12)<br>W 2-1,5/12/24
16,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754397,2024-05-03 19:05:00,AUG - AFX,478,AFX,true,true,true,Augusta,AUG,AUG,233,CHS,CHS,W 6-5,ATL,TB,19.9,21,1,4.2,74,21,32.4%,92.1,93.7,15.6,6.83,4.8%,0.0%,67.6%,54.1%,6.8%,71.4%,61.9%,0.00%,12.50%,17.6%,9.8%,12.5%,26.5%,90.2%,16.7%,.261,.364,1.03,.014,RiverDogs,AUG vs. CHS (2024-05-03)<br>W 6-5,5/3/24
17,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754200,2024-04-26 19:05:00,AUG - AFX,478,AFX,false,true,true,Augusta,AUG,AUG,3705,COL,COL,W 5-1,ATL,KC,19.9,21,1,6.0,77,22,23.4%,92.1,93.4,16.0,6.68,22.7%,13.6%,64.9%,58.4%,7.8%,68.2%,54.5%,22.22%,83.33%,26.0%,21.1%,16.7%,25.0%,78.9%,7.1%,.313,.191,0.77,.010,Fireflies,AUG vs. COL (2024-04-26)<br>W 5-1,4/26/24
18,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754403,2024-04-19 19:05:00,AUG - AFX,478,AFX,true,false,true,Augusta,AUG,AUG,249,WIL,WIL,L 3-5,ATL,MIL,19.9,21,1,6.0,76,23,7.9%,93.0,94.8,13.0,6.72,30.4%,8.7%,69.7%,61.8%,10.5%,73.9%,69.6%,45.45%,58.33%,28.9%,20.5%,12.9%,27.6%,79.5%,7.1%,.207,.175,2.11,.028,Mudcats,AUG vs. WIL (2024-04-19)<br>L 3-5,4/19/24
19,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,753881,2024-04-12 19:00:00,AUG - AFX,478,AFX,false,true,true,Augusta,AUG,AUG,487,KAN,KAN,W 6-4,ATL,CWS,19.9,21,1,5.2,69,19,33.3%,92.6,93.7,15.3,6.69,15.8%,5.3%,60.9%,48.5%,13.2%,73.7%,73.7%,0.00%,28.57%,33.3%,38.7%,25.0%,17.1%,61.3%,0.0%,.116,.083,3.25,.047,Cannon Ballers,AUG vs. KAN (2024-04-12)<br>W 6-4,4/12/24
20,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2024,754408,2024-04-05 19:05:00,AUG - AFX,478,AFX,true,true,true,Augusta,AUG,AUG,3705,COL,COL,W 2-1,ATL,KC,19.9,21,1,4.0,61,17,16.4%,93.0,94.2,15.6,6.89,17.6%,11.8%,65.6%,50.8%,6.6%,64.7%,64.7%,14.29%,40.00%,27.9%,30.3%,17.4%,33.3%,69.7%,0.0%,.237,.185,1.69,.028,Fireflies,AUG vs. COL (2024-04-05)<br>W 2-1,4/5/24
